scoreUpdatePerTrial,scoreAtEveryTrial
14,14
-16,-2
10,8
-14,-6
10,4
8,12
-16,-4
14,10
10,20
12,32
10,42
-14,28
14,42
14,56
12,68
-14,54
12,66
12,78
12,90
10,100
14,114
14,128
14,142
-14,128
12,140
10,150
8,158
14,172
12,184
14,198
14,212
-16,196
-14,182
12,194
-16,178
12,190
-14,176
12,188
14,202
14,216
-16,200
-16,184
14,198
14,212
14,226
14,240
12,252
14,266
12,278
-16,262
0,0
14,14
14,28
14,42
-16,26
14,40
-16,24
-16,8
14,22
14,36
14,50
14,64
14,78
14,92
-14,78
-16,62
8,70
10,80
-14,66
12,78
-14,64
14,78
14,92
-16,76
14,90
12,102
-16,86
12,98
14,112
12,124
10,134
14,148
14,162
14,176
-8,168
14,182
-14,168
14,182
12,194
12,206
-8,198
14,212
12,224
-14,210
-14,196
14,210
-14,196
12,208
12,220
-14,206
-8,198
0,0
-14,-14
-16,-30
14,-16
-14,-30
14,-16
12,-4
10,6
12,18
-16,2
10,12
14,26
-16,10
14,24
12,36
14,50
12,62
-14,48
12,60
12,72
-16,56
-14,42
-16,26
-14,12
14,26
-8,18
-8,10
12,22
-16,6
12,18
12,30
14,44
12,56
12,68
14,82
-14,68
-14,54
10,64
12,76
-14,62
10,72
-8,64
-16,48
12,60
10,70
12,82
12,94
-8,86
12,98
14,112
14,126
0,0
-16,-16
-6,-22
-14,-36
14,-22
14,-8
10,2
-8,-6
-4,-10
-14,-24
-14,-38
12,-26
12,-14
12,-2
10,8
8,16
12,28
-16,12
-16,-4
14,10
6,16
10,26
14,40
8,48
12,60
12,72
-6,66
8,74
-8,66
10,76
10,86
12,98
10,108
8,116
12,128
14,142
12,154
10,164
-14,150
14,164
10,174
-8,166
-14,152
14,166
14,180
12,192
8,200
12,212
12,224
-16,208
8,216
0,0
-16,-16
-14,-30
10,-20
8,-12
10,-2
14,12
14,26
14,40
12,52
12,64
12,76
14,90
-14,76
10,86
12,98
-6,92
12,104
-16,88
12,100
-8,92
-16,76
-16,60
14,74
6,80
12,92
12,104
14,118
10,128
12,140
14,154
12,166
14,180
-16,164
-14,150
14,164
-14,150
10,160
8,168
10,178
-6,172
8,180
14,194
14,208
-16,192
10,202
10,212
14,226
-8,218
12,230
12,242
0,0
14,14
-16,-2
-8,-10
10,0
14,14
12,26
14,40
-8,32
12,44
14,58
-14,44
14,58
12,70
12,82
-14,68
12,80
-14,66
14,80
14,94
14,108
12,120
6,126
